Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2018-02-19 14:02:46.262674,Adult Census Income,30162,1,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.814370698999937,75.10775147536636,83.59193687421258,83.59245232874892,60,0.1989258006763477,6.0,6,6,0,1981.0,2057,1941,16.0,16,16,164.0
2018-02-19 14:02:57.215715,Adult Census Income,30162,2,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.947374091000029,75.10775147536636,83.7345003646973,83.71938453358148,71,0.2353955308003448,6.0,6,6,0,1961.0,1997,1901,16.0,16,16,162.666666667
2018-02-19 14:03:08.118700,Adult Census Income,30162,3,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.897567916999947,75.10775147536636,84.17213712618526,84.16885665812848,101,0.33485843113851865,6.0,6,6,0,1853.0,1935,1799,16.0,16,16,190.666666667
2018-02-19 14:03:19.000053,Adult Census Income,30162,4,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.875944692000076,75.10775147536636,83.9267953053511,83.90078467881368,86,0.28512698096943173,6.0,6,6,0,1895.0,1991,1825,16.0,16,16,142.666666667
2018-02-19 14:03:29.883807,Adult Census Income,30162,5,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.878048087000025,75.10775147536636,83.986473045554,83.97608370702541,57,0.18897951064253032,6.0,6,6,0,1932.33333333,2063,1767,16.0,16,16,191.333333333
2018-02-19 14:03:41.533832,Adult Census Income,30162,6,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,11.644283539000071,75.10775147536636,83.59856773423513,83.58199036384782,67,0.22213381075525496,6.0,6,6,0,1907.66666667,2011,1851,16.0,16,16,163.333333333
2018-02-19 14:03:52.499547,Adult Census Income,30162,7,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.960335181999994,75.10775147536636,83.70466149459585,83.71505501445999,79,0.2619189708905245,6.0,6,6,0,1844.33333333,1895,1745,16.0,16,16,184.666666667
2018-02-19 14:04:03.497160,Adult Census Income,30162,8,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.99207980899996,75.10775147536636,83.78754724487766,83.76142216315003,67,0.22213381075525496,6.0,6,6,0,1974.33333333,2115,1881,16.0,16,16,207.333333333
2018-02-19 14:04:14.514824,Adult Census Income,30162,9,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,11.012181203000068,75.10775147536636,83.74776208474239,83.73399833748961,87,0.2884424109807042,6.0,6,6,0,2017.66666667,2143,1905,16.0,16,16,165.333333333
2018-02-19 14:04:25.320766,Adult Census Income,30162,10,PC-ext-Entropy,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,10.800104087000022,75.10775147536636,83.54883628406604,83.53378962057279,64,0.21218752072143757,6.0,6,6,0,1944.33333333,2069,1859,16.0,16,16,168.666666667
