Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Poker Hand,None,SLIQ-ext-Entropy - PC-ext-Entropy,-0.8636017914285792,19,0.8007111113855268,-0.8636017914285792,19,0.8007111113855268,6.523606320279712,19,1.5036282415836766e-06
Poker Hand,None,SLIQ-ext-Entropy - Hypercube Cover-Entropy,-1.858304209284243,19,0.9606550790481752,-1.858304209284243,19,0.9606550790481752,5.868280217294602,19,5.944432107440889e-06
Poker Hand,None,SLIQ-ext-Entropy - Largest Class Alone-Entropy,-3.2811481710113175,19,0.9980356861839484,-3.2811481710113175,19,0.9980356861839484,5.319849606784284,19,1.9555293469308843e-05
Poker Hand,None,PC-ext-Entropy - Hypercube Cover-Entropy,-1.2803504202126166,19,0.8920835855739365,-1.2803504202126166,19,0.8920835855739365,-0.5365635267641663,19,0.70110182490323
Poker Hand,None,PC-ext-Entropy - Largest Class Alone-Entropy,-3.273751457302322,19,0.998002715863516,-3.273751457302322,19,0.998002715863516,-3.226351217792836,19,0.9977782021267962
Poker Hand,None,Hypercube Cover-Entropy - Largest Class Alone-Entropy,-2.5582118104875606,19,0.9903894361706888,-2.5582118104875606,19,0.9903894361706888,-2.5904875948251584,19,0.9910271936520164
San Francisco Crime 15 classes,None,SLIQ-ext-Entropy - PC-ext-Entropy,37.19701773809253,19,0.0,37.246988576141696,19,0.0,-40.87153992678647,19,1.0
San Francisco Crime 15 classes,None,SLIQ-ext-Entropy - Hypercube Cover-Entropy,39.43927362433399,19,0.0,39.342881946868,19,0.0,-54.03869544461851,19,1.0
San Francisco Crime 15 classes,None,SLIQ-ext-Entropy - Largest Class Alone-Entropy,31.57122989170715,19,0.0,31.47661054536397,19,0.0,-69.38089979878481,19,1.0
San Francisco Crime 15 classes,None,PC-ext-Entropy - Hypercube Cover-Entropy,-0.33661478700260866,19,0.6299516045175059,-0.3338383830618845,19,0.6289210527198978,-21.757647329586543,19,0.9999999999999966
San Francisco Crime 15 classes,None,PC-ext-Entropy - Largest Class Alone-Entropy,-1.4413895902246339,19,0.9171229854463984,-1.4448698831213425,19,0.9176072735771985,-47.317808900377806,19,1.0
San Francisco Crime 15 classes,None,Hypercube Cover-Entropy - Largest Class Alone-Entropy,-1.6214351019762392,19,0.9392991524410638,-1.6251380283753696,19,0.9396969836737068,-41.25471265078087,19,1.0
Nursery with Aggreg,None,SLIQ-ext-Entropy - PC-ext-Entropy,-31.63909174627315,19,1.0,-31.63909174627315,19,1.0,25.592149550309408,19,1.1102230246251565e-16
Nursery with Aggreg,None,SLIQ-ext-Entropy - Hypercube Cover-Entropy,-31.63909174627315,19,1.0,-31.63909174627315,19,1.0,25.592149550309408,19,1.1102230246251565e-16
Nursery with Aggreg,None,SLIQ-ext-Entropy - Largest Class Alone-Entropy,-31.63909174627315,19,1.0,-31.63909174627315,19,1.0,25.592149550309408,19,1.1102230246251565e-16
Nursery with Aggreg,None,PC-ext-Entropy - Hypercube Cover-Entropy,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Nursery with Aggreg,None,PC-ext-Entropy - Largest Class Alone-Entropy,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Nursery with Aggreg,None,Hypercube Cover-Entropy - Largest Class Alone-Entropy,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Contraceptive with Aggreg,None,SLIQ-ext-Entropy - PC-ext-Entropy,1.5765784160850653,19,0.0656985266477822,1.5549401658423336,19,0.06822998662188129,-0.8382648991413514,19,0.7938480771499159
Contraceptive with Aggreg,None,SLIQ-ext-Entropy - Hypercube Cover-Entropy,0.7815859268627733,19,0.22204447746003875,0.3819792832880137,19,0.35335774936894215,-1.9983676351154627,19,0.969903726390089
Contraceptive with Aggreg,None,SLIQ-ext-Entropy - Largest Class Alone-Entropy,0.19401048131645862,19,0.42411343926682354,0.21855604432378722,19,0.4146631580233271,-1.1828481162726963,19,0.8742700507008705
Contraceptive with Aggreg,None,PC-ext-Entropy - Hypercube Cover-Entropy,-0.9214053290556663,19,0.8158043983575376,-1.3888188189523982,19,0.9095229282188737,-1.6954747656875022,19,0.9468444124873686
Contraceptive with Aggreg,None,PC-ext-Entropy - Largest Class Alone-Entropy,-1.5751055718801874,19,0.9341316936808216,-1.5838745749353766,19,0.9351371302920967,-0.34421916266794567,19,0.632769034411202
Contraceptive with Aggreg,None,Hypercube Cover-Entropy - Largest Class Alone-Entropy,-0.669097046534682,19,0.7442587146930945,-0.21509042089045183,19,0.5840056311723654,1.403026917057789,19,0.08836978461514922
Adult Census Income,None,SLIQ-ext-Entropy - PC-ext-Entropy,-2.2343476632753725,19,0.9811641219025526,-2.2141907206423257,19,0.9803796057964257,1.0086043324077758,19,0.16291873401383627
Adult Census Income,None,SLIQ-ext-Entropy - Hypercube Cover-Entropy,-2.7163785304984036,19,0.993151856106578,-2.685480134609283,19,0.9926797904986728,1.3455887499792787,19,0.09713722250875512
Adult Census Income,None,SLIQ-ext-Entropy - Largest Class Alone-Entropy,-2.7163785304984036,19,0.993151856106578,-2.685480134609283,19,0.9926797904986728,1.3455887499792787,19,0.09713722250875512
Adult Census Income,None,PC-ext-Entropy - Hypercube Cover-Entropy,-0.10573748917784456,19,0.5415504993479864,-0.09847696393666659,19,0.5387074598829409,0.5329046255333236,19,0.3001389031099171
Adult Census Income,None,PC-ext-Entropy - Largest Class Alone-Entropy,-0.10573748917784456,19,0.5415504993479864,-0.09847696393666659,19,0.5387074598829409,0.5329046255333236,19,0.3001389031099171
Adult Census Income,None,Hypercube Cover-Entropy - Largest Class Alone-Entropy,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
