Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-12-12 22:39:17.863985,Adult Census Income,30162,1,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,20.826604407979175,75.10775147536636,83.29023274318679,83.2873616696022,71,0.2353955308003448,6.0,6,6,0,2236.33333333,2325,2155,16.0,16,16,178.0
2017-12-12 22:39:36.948268,Adult Census Income,30162,2,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,19.0757311709458,75.10775147536636,83.1443538226908,83.14222089274438,75,0.24865725084543466,6.0,6,6,0,2386.33333333,2445,2293,16.0,16,16,213.333333333
2017-12-12 22:39:55.391658,Adult Census Income,30162,3,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,18.434394525946118,75.10775147536636,83.32338704329952,83.31671651711532,72,0.23871096081161727,6.0,6,6,0,2295.0,2375,2217,16.0,16,16,192.666666667
2017-12-12 22:40:17.047390,Adult Census Income,30162,4,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,21.64602006005589,75.10775147536636,83.25044758305152,83.22531325821784,75,0.24865725084543466,6.0,6,6,0,2300.33333333,2375,2223,16.0,16,16,202.0
2017-12-12 22:40:37.469413,Adult Census Income,30162,5,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,20.409934950992465,75.10775147536636,83.67813805450567,83.64978552189672,89,0.29507327100324915,6.0,6,6,0,2321.66666667,2433,2261,16.0,16,16,232.666666667
2017-12-12 22:40:58.302257,Adult Census Income,30162,6,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,20.823663747985847,75.10775147536636,83.29354817319806,83.26464136143056,76,0.2519726808567071,6.0,6,6,0,2338.33333333,2477,2257,16.0,16,16,220.0
2017-12-12 22:41:17.526961,Adult Census Income,30162,7,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,19.213365762028843,75.10775147536636,83.53225913400968,83.52847259180415,98,0.3249121411047013,6.0,6,6,0,2329.66666667,2385,2259,16.0,16,16,219.333333333
2017-12-12 22:41:36.718505,Adult Census Income,30162,8,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,19.180863866000436,75.10775147536636,82.952058882037,82.9237471317881,91,0.301704131025794,6.0,6,6,0,2367.66666667,2383,2353,16.0,16,16,211.333333333
2017-12-12 22:41:57.524599,Adult Census Income,30162,9,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,20.794791807071306,75.10775147536636,83.33001790332206,83.3167098876255,84,0.2784961209468868,6.0,6,6,0,2337.0,2391,2289,16.0,16,16,215.333333333
2017-12-12 22:42:16.945578,Adult Census Income,30162,10,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,19.41217470203992,75.10775147536636,83.16424640275844,83.13545511989092,93,0.30833499104833895,6.0,6,6,0,2332.33333333,2443,2273,16.0,16,16,204.666666667
2017-12-12 22:42:37.065144,Adult Census Income,30162,11,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,20.109615128021687,75.10775147536636,83.56209800411114,83.5438829787234,82,0.2718652609243419,6.0,6,6,0,2338.33333333,2431,2231,16.0,16,16,202.666666667
2017-12-12 22:42:56.956679,Adult Census Income,30162,12,PC-ext,16,3,True,True,1,False,None,True,0.1,15,14.0,8.0,6.0,19.88275687303394,75.10775147536636,83.5654134341224,83.56146179401993,62,0.20555666069889264,6.0,6,6,0,2325.0,2395,2251,16.0,16,16,208.666666667
