Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Cover Type with Aggreg,None,PC-ext - SLIQ-ext,0.23861204832297653,19,0.40698055021074364,0.21077501302584917,19,0.4176534530668814,-2.604330805546083,19,0.9912882872059013
Cover Type with Aggreg,None,PC-ext - Largest Class Alone,-8.14795918558029,19,0.9999999362388353,-8.161022699050077,19,0.999999937750175,-16.24450872102013,19,0.9999999999993281
Cover Type with Aggreg,None,PC-ext - Hypercube Cover,-24.16709609487412,19,0.9999999999999996,-24.153239740445255,19,0.9999999999999994,-24.01409419501251,19,0.9999999999999994
Cover Type with Aggreg,None,SLIQ-ext - Largest Class Alone,-14.118857306265172,19,0.9999999999920569,-14.076259982272676,19,0.9999999999916276,-11.071854771668827,19,0.9999999995017762
Cover Type with Aggreg,None,SLIQ-ext - Hypercube Cover,-35.60469336895951,19,1.0,-35.597490898718995,19,1.0,-17.448021086311993,19,0.9999999999998126
Cover Type with Aggreg,None,Largest Class Alone - Hypercube Cover,-19.198038107005694,19,0.9999999999999666,-19.20218072567281,19,0.9999999999999667,-6.647735535734061,19,0.9999988337015231
Contraceptive with Aggreg,None,PC-ext - SLIQ-ext,-1.0542158607015022,19,0.8474968062547913,-1.0692560756027973,19,0.8508244567202026,3.389333856290583,19,0.0015389084624479743
Contraceptive with Aggreg,None,PC-ext - Largest Class Alone,-1.934477467145412,19,0.9659565481087907,-2.122415280387209,19,0.9764156579078224,-1.2150475552136035,19,0.8803839752564528
Contraceptive with Aggreg,None,PC-ext - Hypercube Cover,-3.1507391111441985,19,0.9973680851761192,-3.4545934449081948,19,0.9986724280453962,-0.19300983857875068,19,0.5755002591862922
Contraceptive with Aggreg,None,SLIQ-ext - Largest Class Alone,-0.48105558847474694,19,0.6820148660564112,-0.5645265056105382,19,0.71049987115849,-3.831425374805471,19,0.9994369863355113
Contraceptive with Aggreg,None,SLIQ-ext - Hypercube Cover,-1.639676645268663,19,0.9412377112548675,-1.7728990785934329,19,0.9538609226045144,-3.092721335867425,19,0.9970042407317566
Contraceptive with Aggreg,None,Largest Class Alone - Hypercube Cover,-2.328724826464941,19,0.9844676183002171,-2.534287368835579,19,0.9898893532855342,1.3458180504006072,19,0.0971008957330658
Cars with Aggreg,None,SLIQ-ext - Hypercube Cover,-25.582969975071784,19,0.9999999999999998,-25.582969975071784,19,0.9999999999999998,14.161763857525997,19,7.533973445106312e-12
